"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"Shri Vihar ,Sembakkam, Chennai","₹85.0 L","Shri Vihar ,Sembakkam",1570,5410,"4 BHK Apartment for sale in Sembakkam, Chennai. This 4 BHK unit is available in Sembakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sembakkam. It is on floor 1. The total number of floors is 1. The price of this Apartment is Rs 85.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Apartment unit with carpet area of 1350 Square feet. The built-up area is 1570 Square feet. There are 4 bedrooms and 3 b...",3,"Yes",4,"Chennai"
"Indra Enclave","₹36.0 L","Krishnaveni Nagar",808,4460,"A 2 BHK Apartment for sale in Medavakkam, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Medavakkam's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 2 floors in this property. The price of this Apartment is Rs 39.0 L. Each unit has a built-up area of 808 Square feet. This North-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near AKG Public School, BS Matriculation School, and Sahasras...",3,"No",2,"Medavakkam"
"Ma. Po. Si. Nagar, Thiruvallur,Chennai","₹50.0 L","Ma. Po. Si. Nagar",1582,3160,"3 BHK Independent House for sale in Chennai. This property is in Thiruvallur, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 50.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1582 Square feet. The carpet area is 1400 Square feet. This is a North facing property. It has 2 bathroom and 3 bedrooms. This is a gat...",3,"Yes",3,"Thiruvallur"
"TNHB Colony, Villivakkam,Chennai","₹225 L","TNHB Colony",2400,9380,"Independent house with seperate compound facing 30 feet road. Surrounded by coconut trees which gives cool atmosphere More About This Property One of the finest property in Villivakkam is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 225 L. This Independent House is spacious with a built-up area of 2400 Square feet. A separate servant room available in this Independent House. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools su...",4,"Yes",4,"Villivakkam"
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai","₹160 L","Anchorage,Mandavelipakkam",1350,11850,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Raja Annamalai Puram. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 160 L. The built up area of this property is 1350 Square feet. There are 3 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Chettinad Vidhyashram School, P S Senior Secondary School, and ST Johns Matriculation Higher Secondary School. Medical facility ...",3,"Yes",3,"Raja Annamalai Puram"
"Kandasamy Nagar, Porur,Chennai","₹65.0 L","Kandasamy Nagar",1400,4640,"Looking for a 3 BHK Independent House for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Porur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 65.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1400 Square feet. There are 3 bedrooms and 4 bathroom. There are a number of reputed schools in the vicinity such as Devi Academy Senior Secondary School, Sarojini Varadappan Girl's Higher Secondary School, and Grace Matric Higher S...",3,"Yes",3,"Porur"
"Viswas Castle,Urapakkam, Chennai","₹32.0 L","Viswas Castle,Urapakkam",950,3370,"Looking for a good 2 BHK Apartment in Urapakkam, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 32.0 L. This modern unit has a built-up area of 949 Square feet. The carpet area of this Apartment is 750 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Arokia Annai Hospital & Medicals Laboratory, Arokiya Hospital, and Nandivaram Government Hos...",3,"No",2,"Chennai"
"Puzhal, Chennai","₹55.0 L","Puzhal",850,6470,"2 BHK Independent House for sale in Surapet, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Surapet which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Surapet. This 2 BHK Independent House is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 600 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathro...",3,"Yes",2,"Chennai"
"Venkateshwara Nagar, Ramapuram,Chennai","₹54.0 L","Venkateshwara Nagar",860,6280,"Looking for a good 2 BHK Apartment in Ramapuram, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 7. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 54.0 L. This modern unit has a built-up area of 860 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Greams Road, MIOT International, and Dr.Agarwals Eye Hospital, Porur. Esta...",3,"No",2,"Ramapuram"
"Velachery, Chennai","₹79.0 L","Velachery",1300,6080,"3 BHK Apartment for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Velachery. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 79.0 L. The built-up area is 1300 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality...",3,"Yes",3,"Chennai"
"Jayam Villa","₹85.0 L","Ramakrishna Nagar",780,10900,"Property for sale in Raja Annamalai Puram, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 3. This Apartment's price is Rs 85.0 L. Homebuyers will also need to pay Rs 1000 towards maintenance. The built-up area is 780 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, Apollo Spectra Hospitals, and Kauve...",2,"No",2,"Raja Annamalai Puram"
"Kallikuppam, Ambattur,Chennai","₹67.0 L","Kallikuppam",1100,6090,"2 BHK Independent House for sale in Ambattur, Chennai. This 2 BHK unit is available in Ambattur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ambattur. The price of this Independent House is Rs 67.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 600 Square feet. The built-up area is 1100 Square feet. There are 2 bedrooms and 3 bathroom. This property is at a ...",3,"No",2,"Ambattur"
"AGS Colony, Adambakkam,Chennai","₹99.0 L","AGS Colony",1193,8300,"The Property is located in heart of Velachery area , But still purely residential. The property has lift & a Huge Car park which can Accommodate a Big SUV with 2-3 Bikes behind. 

CONNECTIVITY : 
The Property is just 1 km from both Velachery 100 Feed road & Inner Ring Road.
The Property is 2.5 kms from St.Thomas Mount Railway station, 1.2 km from Velachery Railway station & Less than a Kilometer from Upcoming Puzhuthivakkam railway station. 

AGS colony Bus stop is with in 200 mts from the site

EDUCATION :
We have Near by Schools like SAN ACADEMY , GK shetty Hindu Vidyala with in 500 mts.We a...",3,"No",3,"Adambakkam"
"Lakshmipuram, Kolathur,Chennai","₹120 L","Lakshmipuram",1350,8890,"A 3 BHK Independent House for sale in Lakshmipuram, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Lakshmipuram's most desired properties. Contact now for more information. The price of this Independent House is Rs 120 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 1350 Square feet. The carpet area is 1300 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Velammal Matriculation Higher Secondary School, Velammal Vidhyashram, and Narayana...",3,"No",3,"Kolathur"
"Veera Vanchinathan Nagar, Perungudi,Chennai","₹75.0 L","Veera Vanchinathan Nagar",1200,6250,"2 BHK Apartment for sale in Chennai. This property is in Perungudi, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 4. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 79.0 L. Monthly maintenance charges come to Rs 1500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1200 Square feet....",3,"Yes",2,"Perungudi"
"Akshaya,Periyar Nagar, Perambur,Chennai","₹63.0 L","Akshaya,Periyar Nagar",946,6660,"2 BHK apartments for sale in Periyar nagar. 946 sq.ft. built up and 413 sq.ft. UDS. Building on 30 feet road. Total 2 floors and 10 apartments. Sale apartment is on 2nd floor. 2 bedroom both with Western style attached bathroom. 2 balconies. Separated Pooja room and washing machine room. False cealing, modular kitchen and covered storage space in all rooms. 1 covered car parking. Lift available and 24 hours water supply. Recently painted and well maintained. 5 min from Periyar nagar government hospital and 10 min from loco station. More About This Property One of the finest property in Perambu...",3,"No",2,"Perambur"
